iter	Passed	Remaining
0	138	13727
1	140	6903
2	142	4607
3	143	3454
4	145	2764
5	147	2304
6	149	1980
7	151	1737
8	153	1547
9	155	1395
10	157	1271
11	158	1165
12	160	1075
13	162	998
14	164	930
15	166	872
16	167	819
17	169	772
18	171	729
19	172	691
20	174	656
21	176	625
22	178	596
23	179	567
24	180	542
25	182	518
26	183	496
27	185	478
28	187	458
29	189	442
30	191	426
31	193	411
32	195	397
33	197	383
34	199	370
35	200	357
36	202	344
37	204	333
38	205	322
39	207	311
40	208	300
41	208	288
42	209	277
43	210	267
44	211	258
45	212	248
46	213	240
47	214	232
48	216	225
49	218	218
50	220	211
51	221	204
52	222	197
53	223	190
54	224	183
55	225	177
56	226	170
57	227	164
58	228	158
59	229	153
60	231	147
61	232	142
62	233	137
63	234	132
64	235	126
65	236	121
66	237	117
67	238	112
68	239	107
69	240	103
70	241	98
71	242	94
72	243	90
73	245	86
74	246	82
75	247	78
76	248	74
77	249	70
78	250	66
79	251	62
80	252	59
81	253	55
82	254	52
83	255	48
84	256	45
85	257	41
86	258	38
87	259	35
88	260	32
89	261	29
90	262	25
91	263	22
92	264	19
93	265	16
94	266	14
95	266	11
96	267	8
97	268	5
98	269	2
99	270	0
