iter	Passed	Remaining
0	161	161004
1	163	81412
2	165	54901
3	166	41546
4	168	33630
5	170	28211
6	171	24316
7	172	21398
8	174	19210
9	176	17505
10	178	16063
11	179	14800
12	181	13754
13	181	12815
14	182	12003
15	183	11287
16	184	10664
17	185	10117
18	186	9644
19	188	9224
20	189	8852
21	191	8519
22	192	8197
23	194	7895
24	195	7623
25	196	7352
26	197	7107
27	197	6872
28	198	6651
29	199	6464
30	201	6295
31	202	6131
32	205	6009
33	206	5870
34	207	5732
35	209	5603
36	210	5476
37	211	5356
38	212	5238
39	213	5121
40	214	5014
41	215	4914
42	217	4829
43	219	4759
44	220	4683
45	221	4602
46	223	4526
47	224	4449
48	225	4369
49	226	4295
50	227	4224
51	227	4152
52	228	4083
53	229	4020
54	230	3965
55	232	3925
56	235	3893
57	236	3835
58	237	3785
59	238	3731
60	239	3679
61	239	3629
62	240	3580
63	241	3531
64	242	3482
65	242	3436
66	243	3390
67	244	3353
68	246	3326
69	248	3301
70	249	3267
71	250	3231
72	251	3198
73	252	3161
74	253	3124
75	264	3212
76	265	3183
77	266	3149
78	267	3116
79	268	3085
80	269	3053
81	269	3021
82	270	2986
83	271	2956
84	271	2926
85	272	2899
86	273	2870
87	274	2842
88	276	2826
89	278	2816
90	280	2797
91	280	2771
92	281	2746
93	282	2723
94	283	2699
95	284	2675
96	284	2652
97	285	2629
98	286	2606
99	287	2583
100	287	2562
101	288	2540
102	289	2522
103	291	2507
104	292	2496
105	293	2478
106	294	2459
107	295	2440
108	296	2423
109	297	2404
110	298	2386
111	298	2368
112	299	2350
113	300	2333
114	301	2316
115	301	2299
116	302	2281
117	303	2266
118	303	2250
119	304	2234
120	306	2223
121	307	2211
122	308	2199
123	309	2184
124	310	2172
125	311	2159
126	311	2143
127	312	2129
128	313	2115
129	313	2100
130	314	2086
131	315	2074
132	316	2064
133	317	2052
134	318	2040
135	319	2027
136	320	2016
137	322	2013
138	323	2006
139	324	1995
140	325	1983
141	326	1970
142	327	1960
143	327	1949
144	328	1938
145	329	1928
146	331	1921
147	332	1913
148	333	1904
149	334	1893
150	334	1882
151	336	1875
152	337	1870
153	340	1869
154	341	1863
155	342	1854
